Tache,Duree,Poid,DateLiv
1,69,8,3411
2,100,5,3010
3,13,4,1691
4,3,2,1784
5,18,4,2619
6,85,1,1434
7,60,1,3956
8,13,4,1860
9,68,3,3849
10,97,5,2612
11,32,10,3260
12,100,10,3533
13,53,5,1569
14,65,4,1901
15,79,5,1597
16,67,9,3524
17,50,7,2911
18,60,6,3670
19,58,4,3307
20,16,5,3726
21,24,9,3472
22,26,2,2735
23,8,8,1925
24,26,6,1457
25,35,3,1578
26,21,10,4113
27,54,2,1603
28,46,5,1948
29,94,10,3820
30,80,2,2599
31,4,7,4014
32,82,9,3025
33,53,4,3696
34,99,2,4090
35,14,3,2335
36,65,8,2735
37,85,8,2333
38,47,10,2808
39,47,10,3119
40,100,8,2448
41,83,6,2890
42,88,2,2641
43,17,4,2446
44,43,9,3867
45,57,9,2236
46,45,6,1837
47,43,10,2832
48,28,8,2935
49,78,5,1104
50,21,3,3261
51,21,4,3473
52,46,7,2206
53,93,4,3572
54,81,7,3212
55,55,7,1737
56,82,4,2713
57,83,10,4015
58,91,1,3938
59,53,8,3611
60,45,2,1533
61,88,1,2769
62,89,4,3910
63,80,1,3223
64,52,1,3858
65,2,10,3189
66,3,3,3180
67,31,9,3215
68,67,5,3148
69,97,9,3988
70,52,6,2914
71,62,7,2807
72,86,7,1576
73,31,8,3379
74,45,1,3587
75,90,10,3270
76,2,8,1301
77,53,5,3884
78,3,1,3735
79,6,2,2569
80,68,7,3852
81,48,5,1850
82,17,4,2999
83,47,2,1318
84,68,2,3341
85,32,7,2477
86,23,7,2912
87,21,6,1965
88,91,8,3495
89,96,1,3262
90,64,1,3236
91,47,4,3739
92,45,2,3684
93,11,7,3949
94,8,1,2023
95,34,1,1912
96,3,8,3023
97,36,3,3302
98,74,5,3644
99,66,6,1937
100,41,7,2659
