Tache,Duree,Poid,DateLiv
1,29,9,3220
2,58,6,7306
3,58,7,9491
4,3,3,5570
5,28,9,8458
6,10,2,6198
7,34,5,7375
8,76,3,10281
9,16,6,6594
10,14,4,7418
11,74,6,10337
12,44,10,4564
13,74,4,7552
14,40,1,3970
15,21,8,7567
16,14,3,9873
17,63,8,4054
18,45,10,3185
19,29,10,9437
20,33,9,7618
21,37,7,5043
22,5,8,4468
23,77,9,9071
24,97,7,7396
25,74,2,11023
26,64,10,4870
27,28,3,3085
28,19,4,9887
29,19,10,7209
30,37,8,6989
31,72,10,10307
32,92,10,6016
33,54,5,3189
34,75,4,6870
35,92,5,9103
36,14,2,10391
37,7,7,9584
38,23,1,3627
39,94,2,6566
40,5,8,8466
41,82,4,4136
42,18,9,10677
43,89,9,6507
44,56,3,9477
45,31,7,7206
46,69,6,6580
47,35,9,9847
48,41,8,4057
49,48,7,5853
50,35,9,7949
51,51,7,7393
52,99,5,11463
53,6,6,3364
54,57,2,4338
55,7,3,7723
56,67,8,9291
57,75,4,6509
58,2,3,5455
59,11,8,5390
60,85,3,10359
61,97,7,6100
62,70,2,4326
63,20,10,3429
64,68,4,7090
65,85,8,7548
66,91,9,8152
67,82,3,11267
68,79,4,6151
69,33,10,3031
70,98,9,11143
71,14,1,8664
72,56,2,8837
73,70,9,10669
74,26,8,11358
75,56,3,2989
76,73,8,3843
77,46,4,8887
78,33,1,7602
79,97,3,7945
80,81,9,8725
81,34,8,8937
82,53,5,10054
83,89,8,5567
84,70,9,8471
85,72,1,6080
86,32,8,10402
87,18,7,4905
88,2,9,9594
89,14,1,4417
90,23,8,7038
91,2,3,6364
92,37,3,7532
93,53,4,8029
94,38,10,10495
95,45,3,8148
96,88,7,4317
97,7,3,10482
98,90,1,4775
99,92,2,7062
100,1,5,6624
101,56,2,8585
102,21,6,8433
103,46,1,5826
104,68,6,6446
105,32,8,11110
106,45,4,8281
107,59,5,9411
108,99,9,9500
109,3,4,9561
110,13,3,7401
111,19,5,10422
112,86,7,10112
113,91,9,9112
114,45,1,8454
115,79,8,2965
116,7,6,4969
117,29,8,8411
118,30,5,5793
119,60,4,4370
120,38,8,5502
121,40,3,10594
122,23,8,6811
123,41,6,5598
124,6,3,7516
125,31,6,7188
126,9,4,3561
127,69,5,5536
128,22,2,7264
129,19,8,5089
130,68,9,3521
131,14,5,5989
132,88,6,3393
133,82,7,10557
134,91,7,4268
135,19,5,9408
136,77,9,10817
137,73,10,7727
138,51,2,2872
139,10,1,7539
140,58,5,9758
141,70,1,8699
142,67,5,10313
143,74,4,9948
144,32,6,3810
145,86,1,5799
146,45,5,6944
147,73,2,5182
148,88,6,8155
149,8,4,4746
150,95,3,8640
151,19,3,3065
152,39,9,7259
153,75,4,10822
154,43,3,5101
155,85,4,9933
156,43,6,8905
157,32,3,3219
158,99,5,2950
159,2,10,9859
160,68,8,9544
161,72,4,8489
162,45,3,4863
163,17,10,3192
164,4,3,6327
165,18,3,3321
166,36,7,9323
167,19,7,3068
168,71,3,10828
169,31,6,7887
170,4,3,4599
171,53,4,8812
172,50,5,3341
173,84,6,9644
174,45,4,11217
175,100,5,10628
176,39,9,3944
177,23,1,9255
178,12,9,10571
179,80,2,3124
180,39,1,6907
181,45,3,7193
182,28,5,7104
183,45,3,6044
184,50,2,10550
185,48,6,7393
186,14,7,5488
187,24,8,5133
188,46,5,10873
189,66,7,10596
190,57,4,3891
191,90,3,9000
192,36,3,9984
193,88,2,6641
194,70,10,8713
195,95,3,11423
196,89,7,9793
197,56,6,4236
198,20,7,11166
199,36,6,5929
200,18,5,7306
201,3,2,8163
202,48,5,5953
203,53,3,4522
204,36,8,7770
205,3,10,6256
206,6,6,3534
207,87,2,6339
208,43,9,5385
209,18,1,5775
210,78,3,10347
211,34,5,4845
212,55,3,8288
213,48,7,2943
214,51,8,8084
215,4,7,4891
216,94,1,10254
217,36,5,9704
218,99,3,6261
219,84,10,10392
220,82,6,6023
221,3,10,10709
222,21,4,3032
223,99,3,6006
224,65,4,7398
225,55,1,9203
226,57,2,5217
227,86,3,8189
228,3,10,5655
229,92,9,10952
230,79,4,10778
231,61,1,8758
232,50,6,7043
233,86,9,9818
234,71,2,9646
235,96,1,8360
236,14,3,4173
237,57,3,10503
238,46,2,3135
239,90,10,3371
240,37,10,5047
241,11,2,6597
242,55,7,4296
243,9,8,11276
244,91,7,3784
245,93,4,10048
246,58,3,7317
247,35,5,8283
248,2,6,11199
249,50,4,4312
250,60,10,9874
251,23,1,6643
252,36,10,8009
253,77,5,3817
254,73,2,7943
255,60,8,6561
256,75,4,11391
257,19,10,8641
258,72,7,10433
259,4,10,4659
260,11,2,10007
261,66,10,5968
262,57,8,3225
263,66,8,10145
264,15,6,7613
265,91,8,8045
266,18,7,10594
267,36,3,6371
268,82,1,10948
269,25,8,5379
270,53,7,7403
271,49,8,3424
272,75,5,8175
273,2,1,8833
274,3,8,9520
275,68,6,4760
276,21,2,10409
277,24,8,3937
278,52,1,3588
279,38,7,4357
280,24,9,8262
281,17,7,7062
282,28,3,10977
283,39,4,4717
284,18,2,9607
285,30,9,4938
286,79,6,7533
287,13,7,7062
288,78,7,3675
289,25,5,10792
290,34,5,4229
291,27,9,6397
292,55,4,9369
293,31,4,9050
294,19,10,8561
295,83,2,5571
296,82,4,9723
297,14,5,5691
298,16,2,5065
299,28,3,8115
300,43,2,11114
